Title,Number,Labels,State,Comment_count,Year_Month,Date_created,Date_closed,Duration_reported_closed,Distinct_Commenter,Distinct_commenter_count,First_comment_date,Last_comment_date,Duration_first_last_comment,Duration_reported_first_comment,Duration_reported_last_comment,First_commit_date,Last_commit_date,Duration_reported_first_commit,Duration_reported_last_commit,Duration_first_last_commit,First_comment_date_commit,Last_comment_date_commit,Duration_first_last_comment_commit,Commit_mentioned,Commit_sha,Count_all_commits,Committers
jnp.pad: improve error handling for non-static pad_width,5558,"cla: yes, pull ready",closed,0,2021-01-29,2021-01-29,2021-01-30,1,,0,,,0,0,0,2021-01-30,2023-08-11,1,924,923,,,0,4,"3598856049953f7aca3af77e3d4ca80c75b7d7cf, 7f07f1b86bdb95b1294892c5b52acef08be163e5, 6bd9292b3da581574d91d4a5d243ef05f4a847b4, deed8b71b1d25561fbaad066cda988b7b6a639c0",4,2
Bugfix to allow `pxla.replicate` to generate Replicated buffers.,5562,"cla: yes, pull ready",closed,1,2021-01-30,2021-01-30,2021-02-02,3,gnecula,1,2021-01-31,2021-01-31,1,1,1,2021-02-02,2023-08-12,3,924,921,,,0,12,"f674059f58adf288725383dbff418327b0b295c6, d25f4b34b8f5cc4d4e068c024569523175016379, 21720373d408e701000b1287cca61c5409c8ce45, 6880e2f086fb87517a932dcd39345dfaecb0bc23, e2d5fafd095c1d4d948a086f2e3642edd87756f8, 21002b5ad5f3489fe31ec19fc10c12f1ba089148, b865111996e24a54f1228c8d054084c42290d4e6, fa9d9ae05f8d7af536d0153e25f7114728ff698e, 9b3703462c6663b7932900594dca2f7934eb4f19, f1873525692161269207ec1ad162295f0782a0f5, cf4e1d414b98143ca4529077a0c768ed8d4c5fec, 35d33f620cbc324a5e1e9d2dba3713668d94690f",12,5
"Pin numpy to max version 1.19, to avoid errors with 1.20",5572,"cla: yes, pull ready",closed,0,2021-01-31,2021-01-31,2021-01-31,1,,0,,,0,0,0,2021-01-25,2023-08-15,6,926,932,,,0,17,"f02f775af32bf1c184f7c1f1b9a1453aae8d3cad, bb0750f31a35e2661834e8b532781785fe63496e, 277f250ffc20843960d99c9c6d593b2abaf96215, 10bbd628e9c98af67fbd3d93dd16371b6d85d09b, 5b3ed3036dec95e79733384e638041f375bc02ac, 76387ae96199dbf17aca2608b7540f2914d1d4f7, 812ff257969f34b1b5d36e04c46eec7864ae01b0, 9b7cad1db96a06e28e9a95261bea10da45914bd3, 57e3f241304ed19e35b59011552e57c9b5026392, 10b2e210ed5049595bbc00cf2a8cf9fd873382ba, 9f2a6acb619cbfcc26381fb8d4d332a3f280c310, 1598c52faf7eab5fdd30d4ad53c339927e1b38d3, ce5320a2e46d709030e7a021538a262d2ce53da2, 34fd4a15627cfb0097e79147582680e8014b6c9c, 47651c6a592be9dae3b41e6638429a0b2259fbc3, b7796710e486f639a73e22d4f3b39818c8d357b5, c7e8b81a74c2b91aa1b8274cf46df3e6135208be",17,6
Improve error message for custom_vjp,5571,"cla: yes, better_errors, pull ready",closed,0,2021-01-31,2021-01-31,2021-01-31,1,,0,,,0,0,0,2020-11-09,2023-08-15,83,926,1009,,,0,11,"ffff3a42fc52d70f37f9a29bfbcf6614a213d7e6, 7c67ec1b8e2baa41040ecaeae338544e573b2bfb, 26afe307018b04dac9857985702fa8c4a4d010ee, e8bca05566653338bc29789091daaea00a6c42c9, 3c1ee0644b580b1c7cf7fd32043916da7b487390, 75e063cbecfed9f04c8877fb226aa146167d1d2f, 5318df67fccc728eb4c720f5420b87d402f00f8e, 5236140b9fc7718e7a6c2233d85b334660f822fe, cc9ffbcd0f7ee84e89f2d3f51632202adb659813, 03575c4b334472041d7b14ff6d870bcdeb2593e6, a259df0d76e50e0e54fa5a69a7c6b78975cde10a",11,3
`inf` using multivariate_normal.logpdf with multiple batches,5570,bug,closed,1,2021-01-31,2021-01-31,2021-02-02,2,jakevdp,1,2021-01-31,2021-01-31,1,1,1,2022-02-07,2023-08-10,372,921,549,,,0,6,"296832e891def967b64ad0d24e3df1ad0cb5cf8f, 6dc3e8882995ee5992cfbd76704e993919624bee, 5f849d3aaaf38403c7ac185313d9ad8c7fbb97c0, efe1b6b44c5eb25daffca1e8106526f09348bc3f, 794cec15cf5d600bd1f4e6037fb5eb5fdfa5e733, 7dfc8ff49d0a78fbbf2f634c0d7637299042d489",6,4
Issue and feature request: Support CPU-hosted DLPack object ,5581,enhancement,closed,2,2021-02-01,2021-02-01,2021-06-22,141,"miguelusque,hawkinsp",2,2021-02-01,2021-06-22,141,1,141,2021-01-27,2023-04-19,5,807,812,,,0,6,"7d9d14967509210e9201e754f03247d0c9873f7d, f885366a8b4a7c1f3edfdd069f226fe852ca84dd, 5db7af66a4472fee41f5db1fc3084af503b7dc7a, fe06f58e1cb638cdd2443819df41b1fec8023b31, cf2f182a6c8e6e37ce7e375581bf099049ba02a5, db2cbd4ae801d7bcc19c766e46599f8b33344972",6,3
Add sleep to attempt to fix RTD build error,5585,"cla: yes, pull ready",closed,0,2021-02-01,2021-02-01,2021-02-02,1,,0,,,0,0,0,2021-02-02,2023-07-31,1,910,909,,,0,4,"95cbd8106d44da814eab5259554084038292bcda, 43a0cf0279d7ed374ab150fdc384a906cfc9fc8b, 9c92ec5d90c5406ca140b8393de55cf3e834ba92, 2e35f25b4b89089526b003fce348cdc372aeeeed",4,2
lax_numpy: better input sanitization,5591,"cla: yes, better_errors, pull ready",closed,0,2021-02-02,2021-02-02,2021-02-03,1,,0,,,0,0,0,2021-02-03,2021-12-10,1,311,310,,,0,2,"738421406671b2ca095964b244b7891259518233, add967db884332d92117bc17a416c3cc3ea65ee0",2,2
Improve some xmap error messages,5603,"cla: yes, pull ready",closed,0,2021-02-02,2021-02-02,2021-02-03,1,,0,,,0,0,0,2021-01-08,2023-08-11,25,920,945,,,0,6,"8b5204373755c8cbbd07de86410cbc9cd7c56208, c039f1e12bbbf6afd704e2e56f022a575f16be06, 563e0c6ba883d23788f058cd5fb714e4c1cfb813, 040da19cd77d805c6ebf3f5e45f38c83a67fc9bd, 74df2d758aec79ec696b97e14bf5429faca6da22, 0eb51bec3b677d3a751f813554db3f7668e8565a",6,1
Memory leak when converting Buffer to float,5605,bug,closed,7,2021-02-02,2021-02-02,2021-02-04,2,"hawkinsp,dionhaefner",2,2021-02-02,2021-02-04,2,1,2,2020-09-25,2023-04-20,130,807,937,,,0,5,"8d24d0af263917afd7028ac5448ac3c3886c6391, 94f97b920f9e6f5e1b6da8628c3a68dc25d489f8, 2f7951b3dc94f525e2fa4a9c789404f0fb0641b4, dec9557f0ef5f60a9a823a2bee8dd183804ec412, 975e76ef769905b5bb609972c5a50c27fd960c4c",5,3
